"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "ASV"
"3f48b79982f8b59dac64d319ecfff17a" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1444"
"6fe5132d7b6da906ffeda4dcadb45b56" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV1148"
"a5a79e2376697de1369cd2103b7e2d73" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV1150"
"fe1feb2b3b344783a25615332b3a4bb9" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "uncultured gamma proteobacterium" "uncultured gamma proteobacterium" "ASV1440"
"c29abb3da4148d35d73027d58f94456c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV1349"
"7d77fb3d14a0e30803c86dbd9cbd1d87" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1541"
"05d763fc740601edb8ac8a81218feb0f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0805"
"582c129d7cd6d2c945049bab2e298c3d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0022"
"751fc2dabe16b5623774317b01bce1d8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0709"
"9be621dbe8a18e962dfc4017754d4a18" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0920"
"1e4178233cf9bcb3ecdb9d0dc3d61619" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV0012"
"2634f69582e08edd803968a979c73398" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1014"
"d1ab446386b3edce59531bc5e6dae6e4" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0470"
"61850a0a891476ce9ad7514d93ffb09c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0905"
"bd001220aacab6d826cee0fc04508a6c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1389"
"c63d1a4f26cd5ea9f11af2a98e9bee0d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1063"
"b02c7a41b2962696813222a08154018c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0741"
"9f4df4da7cd38b225a3c5af3fad3c55d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0386"
"d64fd88d7647b77cf55b1f2c7299980e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0515"
"2596278c7bf861dd0cc9f8bd21ded6e8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0392"
"e5ea9c8f545904780349b0abd0157e0f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0623"
"2973fb2f2214349ab21bf4fba45e5e32" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0607"
"200a329a03b4db3899de1bff81c92d49" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1526"
"2e437980ead14e610eb77d340d193833" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV1057"
