#OTUID	taxonomy	confidence
a06507ab1c76634fc4a654f82cdb5e80	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0.9998992519652845
b019b29e11fb37cb39f14dea4b134b1d	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__uncultured Gluconacetobacter sp.	0.7126108325024192
9f7318872a03d56b658fcb155c43ce5f	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9971016798637823
751fc2dabe16b5623774317b01bce1d8	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae;D_5__Frischella	0.7217021975759537
0662195594e2cd698008ab254f2a775a	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9999918200562533
527a4b3244d0aeee0a9fce2e5ac7fbe3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__uncultured Gluconacetobacter sp.	0.8595487110390881
6ba963b0abcf610622406a88150b01ba	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus apis	0.9602097643581974
997595ed5dd8a436743679cfdc9052be	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__uncultured Gluconacetobacter sp.	0.8946594533945235
f2becf929e9971f72ead0f084c28e958	D_0__Bacteria	0.963622662309231
198538394961e29abeafa803d175f940	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9999997805406681
5c3cc5ace00cbb1f52de84fe203ac418	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella;D_6__Snodgrassella alvi wkB2	0.8074323230009596
03220ad95808423b6b9b90429bbe0080	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.999978854391853
247cc9c4d688103544417042dcd1b8ea	D_0__Bacteria	0.9272380304359854
ed7bc9624d5b5f54a5e61ea11195b2ac	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter	0.9999293211466876
a337a40479d31bcbca632be88882fcf9	D_0__Bacteria	0.9581531879987002
f8fd00d0cbf0361f1e928ab31a441402	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus apis	0.8645148181925042
5e7ed54d2d69bee5077fde5252522865	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__uncultured Gluconacetobacter sp.	0.7129028328016709
7a46ed0a6e61cc11fa03e936d336ad4f	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__uncultured Gluconacetobacter sp.	0.7129030810079908
031050b5e714ccd15e585e6e293f5d3a	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae;D_5__Gilliamella	0.9914209474572808
9029e0e10d39b9a58704815d9940badf	D_0__Bacteria	0.9709599420343986
1a1a69a18f99231515fccb0fb24fc58e	D_0__Bacteria	0.8843492916903133
5db19cfe36dd0abe4a3b05b1d6ffd97a	D_0__Bacteria	0.938720448277043
ef417b747dcb32bf0f2470d9fad6cab8	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9843206903620763
0437d0b94baefd8851d4a032a219a906	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__Acetobacteraceae bacterium M3_10_1TCO2	0.8982692691852133
0cdfe6f8fbb272a2a8724a67b660b38c	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9991892328264473
35396de68b37a81532f2d83a28ce5453	Unassigned	0.877622079306961
28a22ed341237ecd787c365a04606e9d	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella;D_6__Snodgrassella alvi wkB2	0.9299865739912019
43ca8ac7e57a936822ef56382c828b12	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae;D_5__Frischella	0.7689407509985187
3c573f26a0278e99b1c7513cc2ee61b0	D_0__Bacteria	0.9363702982640852
aea468637a68ddec6aae522ea2152f8c	D_0__Bacteria	0.9739025114814585
49b8ed1f0f3e22dbbe0005fbcd2546ef	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella	0.9995790078168412
4bd6852b2dd9849e414e9d5a44f8628a	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9999994313445668
26d5d717114988a9855b1a9fd25f7e81	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae	0.9998956874790583
89d91d38a03e9a4178fe0eab95e5e0fe	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus apis	0.9880173424930927
0ac095892d3add66583c59270e176a3f	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0.9792550772631889
b02c7a41b2962696813222a08154018c	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae;D_5__Frischella	0.7059683294150043
038cad6080b006b2a276c6cbaa64a1d3	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae	0.9989557030344252
dc2ffe7607c9baa9ca6d0bb7ed340c86	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus kullabergensis	0.9461199597069264
c861335b6529e1e66f23996c0b2f2599	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Commensalibacter;D_6__Acetobacteraceae bacterium M3_10_1TCO2	0.7098308019430221
