SampleID	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2
X16.3.G2	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_2	Glyphosate_transfer_cage_2	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3
X16.3.G3	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_3	Glyphosate_transfer_cage_3	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3
X16.3.T1	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3
X16.3.T2	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3
X16.3.T3	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_3	Tetracycline_transfer_cage_3	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3
X16.C1.4	run_two	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C1.5	run_one	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C1.8	run_two	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C2.10	run_two	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C2.5	run_one	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C2.8	run_one	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C3.2	run_two	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C3.3	run_one	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.C3.7	run_two	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_2	Control_cycle_2	Control_cycle_3
X16.Ch1.4	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch1.5	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch1.9	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.2	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.6	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch2.8	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch3.2	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.Ch3.4	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
