SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X16.G1.9	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G2.10	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G2.7	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G3.4	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G3.5	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G3.6	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.T1.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T1.2	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T1.3	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T2.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T2.10	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T2.5	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T3.3	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T3.6	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X16.T3.7	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_cycle_3	Tetracycline_cycle_2
X21.C1.Ch.1	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.Ch.2	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.Ch.3	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.G.1	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.G.3	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.G.5	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.T.4	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_1	control_Tetracycline_cage_1	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C1.T.5	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_1	control_Tetracycline_cage_1	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
