gene,go
GB15151,GO:0006139
GB19144,GO:0016021
GB19144,GO:0016740
GB19144,GO:0046856
GB13816,GO:0005794
GB13816,GO:0003723
GB18332,GO:0016021
GB15883,GO:0016021
GB15883,GO:0016757
GB12107,GO:0016021
GB12107,GO:0003723
GB16602,GO:0030151
GB16602,GO:0006913
GB16602,GO:0015031
GB12055,GO:0016021
GB12055,GO:0005794
GB12055,GO:0003700
GB12055,GO:0030151
GB16239,GO:0016021
GB16239,GO:0006812
GB13238,GO:0016021
GB13238,GO:0000166
GB13238,GO:0003774
GB19106,GO:0000166
GB13778,GO:0005576
GB13778,GO:0016021
GB13778,GO:0005794
GB13778,GO:0005509
GB13778,GO:0008601
GB13778,GO:0003700
GB13778,GO:0030151
GB12727,GO:0005622
GB12727,GO:0006913
GB16369,GO:0016021
GB16369,GO:0008241
GB12556,GO:0005622
GB12556,GO:0016020
GB12556,GO:0030553
GB12556,GO:0003774
GB12556,GO:0015031
GB12556,GO:0006913
GB12556,GO:0048015
GB19693,GO:0016021
GB19693,GO:0006812
GB13345,GO:0000166
GB14433,GO:0016021
GB14433,GO:0005622
GB14433,GO:0015031
GB14433,GO:0070836
GB14433,GO:0016192
GB20149,GO:0030151
GB11790,GO:0005794
GB11790,GO:0003723
GB11790,GO:0006270
GB11790,GO:0006979
GB19066,GO:0005737
GB19066,GO:0005794
GB19066,GO:0003723
GB19066,GO:0003700
GB19066,GO:0006368
GB17476,GO:0016020
GB17476,GO:0051537
GB17476,GO:0016651
GB18425,GO:0016021
GB18425,GO:0003723
GB18425,GO:0006979
GB10364,GO:0004057
GB11731,GO:0016021
GB19770,GO:0004842
GB19770,GO:0030151
GB15581,GO:0030151
GB14928,GO:0000287
GB14928,GO:0003676
GB18557,GO:0005509
GB11259,GO:0016021
GB11259,GO:0000166
GB11259,GO:0003774
GB18341,GO:0016021
GB13183,GO:0003723
GB13183,GO:0004781
GB19317,GO:0016788
GB19317,GO:0046856
GB14904,GO:0016021
GB14904,GO:0005319
GB15310,GO:0006396
GB10175,GO:0005794
GB10175,GO:0000166
GB10175,GO:0003774
GB10175,GO:0070836
GB14346,GO:0000287
GB12081,GO:0016021
GB12081,GO:0005452
GB19820,GO:0020037
GB19820,GO:0030151
GB19820,GO:0004497
GB19820,GO:0016705
GB19836,GO:0016021
GB19836,GO:0048786
GB19836,GO:0005319
GB19836,GO:0030054
GB16146,GO:0000166
GB16146,GO:0004020
GB11208,GO:0005509
GB11208,GO:0003824
GB17701,GO:0008484
GB13298,GO:0005576
GB13298,GO:0008061
GB13298,GO:0006030
GB12902,GO:0005509
GB18284,GO:0016020
GB18284,GO:0005509
GB18284,GO:0004415
GB17787,GO:0016021
GB14534,GO:0016021
GB11050,GO:0031225
GB11050,GO:0005886
GB11050,GO:0005615
GB14360,GO:0006511
GB11823,GO:0016021
GB11823,GO:0008455
GB13902,GO:0006979
GB11591,GO:0000287
GB11591,GO:0003676
GB15516,GO:0002128
GB10566,GO:0016021
GB12643,GO:0016020
GB18656,GO:0005509
GB10250,GO:0005794
GB10250,GO:0016021
GB17609,GO:0016021
GB17609,GO:0005856
GB10992,GO:0005737
GB10992,GO:0000166
GB10992,GO:0000287
GB10992,GO:0006629
GB10078,GO:0005615
GB15807,GO:0080019
GB19808,GO:0005509
GB15428,GO:0000166
GB16705,GO:0016021
GB16705,GO:0006629
GB12211,GO:0016021
GB16924,GO:0005794
GB16924,GO:0008285
GB18614,GO:0005856
GB12024,GO:0016491
GB17675,GO:0000166
GB15346,GO:0000287
GB15346,GO:0003676
GB13722,GO:0005975
GB14044,GO:0008241
GB15814,GO:0005515
GB17499,GO:0016021
GB17499,GO:0005856
GB17499,GO:0005215
GB17499,GO:0006812
GB11741,GO:0016192
GB12891,GO:0000166
GB12891,GO:0004020
GB13457,GO:0016021
GB18713,GO:0036459
GB18713,GO:0016579
GB18713,GO:0006511
GB17620,GO:0016021
GB18223,GO:0005794
GB17484,GO:0016021
GB17484,GO:0030151
GB15919,GO:0006730
GB14767,GO:0016021
GB14767,GO:0000166
GB14767,GO:0004020
GB20119,GO:0016021
GB17236,GO:0006979
GB19727,GO:0005794
GB19727,GO:0003676
GB19727,GO:0030151
GB19514,GO:0051537
GB19514,GO:0016740
GB19514,GO:0002128
GB19194,GO:0005856
GB19194,GO:0000166
GB19194,GO:0003777
GB19194,GO:0051013
GB18247,GO:0005319
GB17187,GO:0000795
GB17187,GO:0006368
GB12112,GO:0000287
GB14037,GO:0005576
GB14037,GO:0008061
GB14037,GO:0016810
GB14037,GO:0005975
GB14037,GO:0006030
GB13173,GO:0000166
GB13173,GO:0004020
GB14805,GO:0016021
GB13573,GO:0000166
GB13573,GO:0004020
GB13573,GO:0006979
GB15730,GO:0005622
GB15730,GO:0004871
GB15730,GO:0006979
GB17597,GO:0005515
GB15389,GO:0016021
GB15389,GO:0005215
GB11487,GO:0016021
GB11487,GO:0004871
GB19880,GO:0003824
GB19939,GO:0005515
GB15911,GO:0005856
GB15911,GO:0000166
GB15911,GO:0003777
GB15911,GO:0051013
GB11397,GO:0005856
GB11397,GO:0005200
GB11397,GO:0002128
GB19709,GO:0005623
GB19709,GO:0016020
GB10070,GO:0016021
GB10070,GO:0008601
GB18647,GO:0016020
GB14252,GO:0016787
GB14252,GO:0030151
GB10988,GO:0016021
